# ----------------------------------------
# Pages and screens: Page path and screen class
# 계정: creatrip
# 속성: Creatrip GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20260327
# 종료일: 20260423
페이지 경로 + 쿼리 문자열,조회수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총수익,참여율,이탈률,세션당 평균 참여 시간
/itinerary-check?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEeNA9usK8cu_4ZCfqHnVYtB1W4GyFy4YESe481Tm_A9JdsJx6Pzkx0Jzju68w_aem_f6rtxm1zB8tS_KY0W5rXCQ,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEeb-VHS-xYqRWKyyXn0fiR1Vmfq5ITQA-228anDpJxt2MERwYdC1Olxgab-ZQ_aem_fhhbyunj-pfoKfiJ6AeMtA,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGnGURDcnZeilZbafR9SomMYzgHYIvj_5H4gE-pC7bYXEhE02tFcMCIB0xgig0_aem_20TATlYbvThG6NY8__5zyg,1,1,1,0,1,0,0,1,0,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGn3p4yx4OcDyUEt9xhQL630AxWPw7XBXNPP1sx_hsQMEzoGCrXAfccwnCxOtw_aem_jgBkzJ-uwj81NpX1so123g,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGn4Dk6SJ-mDAq4U9vKHLDgUvoDwGyGmdL3c4QxNZA_MgzoMiLq3XCocpP9ozk_aem_TS-1RT8IOS--mXpUa39n3A,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGn5oXrkjBBYDZSg361KuD3A-fU-6yn9rtAxRQtxYejLx76eT2nwtdqavsOpaQ_aem_qb2hgbr6z3Bz9kCOHXzRsg,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGn7xYNBewj1N2hpwSOApqTPcF-ZCkjrDjUapb4LaAxfIiL8rISqW4LKgNOx-Q_aem_DfWwSHO4pXIda9Hocm4wJw,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGn8A9hwYzZF6pboFt7J7LkP9HcoQCKhiOzjKDpI1ETC4QcgZm5j_ovYVcy5yI_aem_gdWITZxFwtIhyosSkBR5uA,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGn8kr807xuJdKgXIsozC9dbpQ7XKDs6dG4vrAcFnXParYMMRzIOZTA48z_jGk_aem_tl7gKCgetgE0MHOQyjXWIg,1,1,1,0,1,0,0,1,0,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnBQGCS4Py3dTeQZ5Ovp9srzh0637ieK5tLXH7B9qkU34o1fWba76RtEy_IuM_aem_mRMNtQk4MHMI8hphZWAqDQ,1,1,1,0,1,0,0,0,1,0
