# ----------------------------------------
# Creatrip GA4
# 자유 양식-자유 형식 3
# 20260322-20260520
# ----------------------------------------

이벤트 이름,AppInstallBannerClick,총계
page_location,이벤트 수,이벤트 수
"https://creatrip.com/en/blog/7938/Солонгост хүргэлтийн хоол | Солонгос улсад дугаар, картгүй хүргэлтээр захиалаарай!?gad_source=1&gad_campaignid=22419715675&gbraid=0AAAAACs_i0ICGEcVp1qeG5LkA8pEgjLbZ&gclid=Cj0KCQjwy_fOBhC6ARIsAHKFB79XI6_HUQqLXrzLIFd4gU8798SRmVDbFdELYOW8hFaSMsnmTrJ9QMcaAnmtEALw_wcB",1,1
https://creatrip.com/en/blog/8089,4,4
https://creatrip.com/en/blog/938,1,1
https://creatrip.com/en/blog/9451,2,2
https://creatrip.com/en/blog/990,1,1
https://creatrip.com/es/blog/11469,1,1
https://creatrip.com/es/blog/14374,2,2
https://creatrip.com/es/blog/5032,1,1
https://creatrip.com/es/blog/6945,1,1
https://creatrip.com/es/blog/9451,2,2
https://creatrip.com/fr/blog/5090,1,1
https://creatrip.com/id/blog/11280,2,2
https://creatrip.com/id/blog/14349,1,1
https://creatrip.com/id/blog/9451,2,2
https://creatrip.com/it/blog/6481,1,1
https://creatrip.com/it/blog/9563,1,1
https://creatrip.com/ja/blog/10293,2,2
https://creatrip.com/ja/blog/10604,1,1
https://creatrip.com/ja/blog/12579,1,1
https://creatrip.com/ja/blog/12713,2,2
https://creatrip.com/ja/blog/13729,2,2
https://creatrip.com/ja/blog/13739,1,1
https://creatrip.com/ja/blog/13756,2,2
https://creatrip.com/ja/blog/13800,1,1
https://creatrip.com/ja/blog/13822,2,2
https://creatrip.com/ja/blog/14145,1,1
https://creatrip.com/ja/blog/14205,7,7
https://creatrip.com/ja/blog/14240,1,1
https://creatrip.com/ja/blog/14486,2,2
https://creatrip.com/ja/blog/14502,4,4
https://creatrip.com/ja/blog/14521,1,1
https://creatrip.com/ja/blog/14533,1,1
https://creatrip.com/ja/blog/14597,2,2
https://creatrip.com/ja/blog/14616,1,1
https://creatrip.com/ja/blog/14702,3,3
https://creatrip.com/ja/blog/14716,3,3
https://creatrip.com/ja/blog/14764,2,2
https://creatrip.com/ja/blog/14850,1,1
https://creatrip.com/ja/blog/14878,3,3
https://creatrip.com/ja/blog/15007?utm_medium=email&utm_campaign=membership_content&utm_source=email_jp,1,1
https://creatrip.com/ja/blog/2384,2,2
https://creatrip.com/ja/blog/4232,1,1
https://creatrip.com/ja/blog/4444,1,1
https://creatrip.com/ja/blog/4480,4,4
https://creatrip.com/ja/blog/4558,1,1
https://creatrip.com/ja/blog/4728,2,2
https://creatrip.com/ja/blog/5223,8,8
https://creatrip.com/ja/blog/5357?utm_medium=sharing&utm_source=line,1,1
https://creatrip.com/ja/blog/5362,1,1
https://creatrip.com/ja/blog/5372,1,1
https://creatrip.com/ja/blog/5655,7,7
https://creatrip.com/ja/blog/5797,2,2
https://creatrip.com/ja/blog/5797?utm_source=instagram_jp&utm_medium=bio&utm_campaign=traffic_beauty&utm_content=myongdongckinic_260326,1,1
https://creatrip.com/ja/blog/7242,3,3
https://creatrip.com/ja/blog/7936,1,1
https://creatrip.com/ja/blog/8089,5,5
https://creatrip.com/mn/blog/12912,1,1
https://creatrip.com/mn/blog/7774,3,3
https://creatrip.com/mn/blog/9539?utm_source=chatgpt.com,1,1
https://creatrip.com/ru/blog/10084,1,1
https://creatrip.com/ru/blog/14547?ysclid=mo1cj645gl83093056,1,1
https://creatrip.com/ru/blog/5549,2,2
https://creatrip.com/ru/blog/7376,1,1
https://creatrip.com/ru/blog/938,1,1
https://creatrip.com/th/blog/10012,3,3
https://creatrip.com/th/blog/9384,3,3
https://creatrip.com/vi/blog/10912,3,3
https://creatrip.com/vi/blog/13643,2,2
https://creatrip.com/vi/blog/13840,1,1
https://creatrip.com/vi/blog/5549,1,1
https://creatrip.com/vi/blog/7886,1,1
https://creatrip.com/vi/blog/7938,1,1
https://creatrip.com/vi/blog/8234,2,2
https://creatrip.com/vi/blog/9451,1,1
https://creatrip.com/zh-CN/blog/13627,7,7
https://creatrip.com/zh-CN/blog/14440,1,1
https://creatrip.com/zh-CN/blog/5075?utm_source=chatgpt.com,1,1
https://creatrip.com/zh-HK/blog/11694,1,1
https://creatrip.com/zh-HK/blog/13065,2,2
https://creatrip.com/zh-HK/blog/13561,1,1
https://creatrip.com/zh-HK/blog/13561/2026 Creatrip X 樂天免稅店大優惠,1,1
https://creatrip.com/zh-HK/blog/13597,1,1
https://creatrip.com/zh-HK/blog/13603,1,1
https://creatrip.com/zh-HK/blog/13651?utm_source=perplexity,1,1
https://creatrip.com/zh-HK/blog/13737/2026韩国,1,1
https://creatrip.com/zh-HK/blog/13739,1,1
https://creatrip.com/zh-HK/blog/13755,1,1
https://creatrip.com/zh-HK/blog/13887,1,1
https://creatrip.com/zh-HK/blog/14198,1,1
https://creatrip.com/zh-HK/blog/14282,1,1
https://creatrip.com/zh-HK/blog/14341,1,1
https://creatrip.com/zh-HK/blog/14561,1,1
https://creatrip.com/zh-HK/blog/14597,2,2
