rank,blog_code,segment,impressions,clicks,ctr
187,1790,passing,170,0,0.000000
188,1802,hidden,205,0,0.000000
189,1813,passing,241,0,0.000000
190,1848,passing,156,0,0.000000
191,1851,비여행,59,0,0.000000
192,1870,passing,131,0,0.000000
193,1876,low,53,0,0.000000
194,1902,passing,145,0,0.000000
195,1917,passing,597,0,0.000000
196,1940,passing,518,0,0.000000
197,1946,passing,114,0,0.000000
198,1951,passing,817,0,0.000000
199,1952,passing,687,0,0.000000
200,1962,passing,251,0,0.000000
201,1984,low,86,0,0.000000
202,1993,low,93,0,0.000000
203,2002,passing,1429,0,0.000000
204,2020,low,120,0,0.000000
205,2030,passing,2163,0,0.000000
206,2043,passing,1331,0,0.000000
207,2044,low,50,0,0.000000
208,2049,비여행,75,0,0.000000
209,2052,passing,118,0,0.000000
210,2071,low,88,0,0.000000
211,2075,비여행,131,0,0.000000
212,2077,passing,1062,0,0.000000
213,2091,passing,93,0,0.000000
214,2103,passing,239,0,0.000000
215,2166,passing,881,0,0.000000
216,2175,killer,95,0,0.000000
217,2186,hidden,71,0,0.000000
218,2211,passing,87,0,0.000000
219,2225,hidden,96,0,0.000000
220,2230,hidden,87,0,0.000000
221,2237,low,199,0,0.000000
222,2245,passing,215,0,0.000000
223,2257,low,65,0,0.000000
224,2276,low,166,0,0.000000
225,2294,비여행,71,0,0.000000
226,2302,passing,177,0,0.000000
227,2304,low,212,0,0.000000
228,2309,passing,441,0,0.000000
229,2319,passing,292,0,0.000000
230,2348,hidden,60,0,0.000000
231,2360,passing,246,0,0.000000
232,2381,hidden,74,0,0.000000
233,2393,passing,106,0,0.000000
234,2398,passing,468,0,0.000000
235,2412,passing,908,0,0.000000
236,2418,killer,440,0,0.000000
237,2429,hidden,96,0,0.000000
238,2445,passing,379,0,0.000000
239,2446,passing,178,0,0.000000
240,2452,low,202,0,0.000000
241,2455,hidden,132,0,0.000000
242,2462,passing,159,0,0.000000
243,2464,killer,55,0,0.000000
244,2468,passing,82,0,0.000000
245,2476,passing,152,0,0.000000
246,2487,passing,1966,0,0.000000
247,2492,passing,142,0,0.000000
248,2505,비여행,239,0,0.000000
249,2514,passing,498,0,0.000000
250,2528,killer,493,0,0.000000
251,2532,killer,171,0,0.000000
252,2544,passing,98,0,0.000000
