blog_code,segment,impressions,clicks,ctr
6044,killer,36,0,0.000000
1240,killer,32,0,0.000000
4155,killer,30,0,0.000000
3094,killer,26,0,0.000000
5011,killer,24,0,0.000000
1088,killer,22,0,0.000000
3462,killer,22,0,0.000000
5148,killer,20,0,0.000000
5187,killer,19,0,0.000000
4559,killer,18,0,0.000000
4702,killer,16,0,0.000000
4813,killer,15,0,0.000000
4959,killer,15,0,0.000000
1378,killer,14,0,0.000000
2175,killer,14,0,0.000000
4414,killer,14,0,0.000000
1913,killer,13,0,0.000000
4124,killer,12,0,0.000000
2684,killer,12,0,0.000000
545,killer,11,0,0.000000
2464,killer,11,0,0.000000
4575,killer,11,0,0.000000
4749,killer,10,0,0.000000
3778,killer,9,0,0.000000
4972,killer,9,0,0.000000
5233,killer,9,0,0.000000
4424,killer,8,0,0.000000
4926,killer,7,0,0.000000
2985,killer,5,0,0.000000
4661,killer,5,0,0.000000
4370,killer,4,0,0.000000
2655,killer,4,0,0.000000
3406,killer,4,0,0.000000
4030,killer,3,0,0.000000
5043,killer,3,0,0.000000
4795,killer,3,0,0.000000
4614,killer,2,0,0.000000
4561,killer,2,0,0.000000
2521,killer,2,0,0.000000
4641,killer,2,0,0.000000
2669,killer,1,0,0.000000
5500,low,1415,2,0.001413
6456,low,450,0,0.000000
5035,low,327,0,0.000000
4951,low,301,0,0.000000
6105,low,273,0,0.000000
5377,low,244,0,0.000000
5682,low,183,0,0.000000
7132,low,168,0,0.000000
5909,low,158,0,0.000000
6760,low,142,0,0.000000
3938,low,140,0,0.000000
5085,low,138,0,0.000000
4794,low,134,0,0.000000
6116,low,126,0,0.000000
7241,low,122,0,0.000000
2304,low,110,0,0.000000
2276,low,109,0,0.000000
5683,low,94,0,0.000000
4835,low,91,0,0.000000
2020,low,89,0,0.000000
4383,low,85,0,0.000000
4267,low,82,0,0.000000
5661,low,77,0,0.000000
6946,low,74,0,0.000000
2452,low,73,0,0.000000
5665,low,73,0,0.000000
974,low,70,0,0.000000
1047,low,60,0,0.000000
4819,low,60,0,0.000000
5824,low,58,0,0.000000
5090,low,58,1,0.017241
5962,low,57,0,0.000000
5145,low,57,0,0.000000
4269,low,56,0,0.000000
4919,low,51,0,0.000000
5321,low,51,0,0.000000
5667,low,48,0,0.000000
5614,low,47,0,0.000000
5352,low,46,0,0.000000
4463,low,46,0,0.000000
4499,low,43,0,0.000000
2237,low,42,0,0.000000
4348,low,42,0,0.000000
5671,low,41,0,0.000000
5563,low,39,0,0.000000
4983,low,39,0,0.000000
2071,low,39,0,0.000000
5839,low,38,0,0.000000
860,low,38,0,0.000000
4432,low,37,0,0.000000
5908,low,37,0,0.000000
6912,low,37,0,0.000000
823,low,37,0,0.000000
4852,low,36,0,0.000000
6388,low,36,0,0.000000
5762,low,35,0,0.000000
5913,low,34,0,0.000000
3818,low,34,0,0.000000
7109,low,32,0,0.000000
6637,low,32,0,0.000000
6484,low,31,0,0.000000
4610,low,30,0,0.000000
6048,low,30,0,0.000000
5179,low,29,0,0.000000
1984,low,29,0,0.000000
4825,low,28,0,0.000000
4766,low,27,0,0.000000
5649,low,27,0,0.000000
1310,low,27,0,0.000000
4672,low,26,0,0.000000
6995,low,26,0,0.000000
7169,low,25,0,0.000000
6942,low,25,0,0.000000
4854,low,24,0,0.000000
6511,low,24,0,0.000000
7212,low,23,0,0.000000
5057,low,22,0,0.000000
754,low,22,0,0.000000
4977,low,21,0,0.000000
6167,low,21,0,0.000000
5045,low,21,0,0.000000
4453,low,21,0,0.000000
5222,low,20,0,0.000000
5659,low,20,0,0.000000
7152,low,20,0,0.000000
7209,low,20,0,0.000000
7258,low,20,0,0.000000
5010,low,19,0,0.000000
1993,low,19,0,0.000000
6308,low,19,0,0.000000
6906,low,19,0,0.000000
4566,low,18,0,0.000000
6415,low,18,0,0.000000
5674,low,18,0,0.000000
5891,low,18,0,0.000000
5282,low,17,0,0.000000
2513,low,17,0,0.000000
4451,low,16,0,0.000000
5853,low,16,0,0.000000
6871,low,16,0,0.000000
1876,low,16,0,0.000000
4684,low,16,0,0.000000
4797,low,16,0,0.000000
2257,low,15,0,0.000000
5163,low,15,0,0.000000
5852,low,15,0,0.000000
5005,low,15,0,0.000000
4325,low,14,0,0.000000
1918,low,14,0,0.000000
4324,low,14,0,0.000000
7075,low,13,0,0.000000
4369,low,13,0,0.000000
5541,low,13,0,0.000000
1450,low,12,0,0.000000
4902,low,12,0,0.000000
4792,low,12,0,0.000000
5115,low,12,0,0.000000
5289,low,12,0,0.000000
4938,low,12,0,0.000000
5475,low,12,0,0.000000
5651,low,12,0,0.000000
5603,low,12,0,0.000000
4274,low,12,0,0.000000
5590,low,12,0,0.000000
5226,low,11,0,0.000000
6365,low,11,0,0.000000
5116,low,11,0,0.000000
6130,low,11,0,0.000000
6435,low,11,0,0.000000
3960,low,11,0,0.000000
4223,low,11,0,0.000000
4584,low,10,0,0.000000
4873,low,10,0,0.000000
4694,low,9,2,0.222222
6405,low,9,0,0.000000
4218,low,9,0,0.000000
6932,low,9,0,0.000000
1543,low,9,0,0.000000
189,low,9,0,0.000000
5171,low,8,0,0.000000
6790,low,8,0,0.000000
5351,low,8,0,0.000000
5658,low,8,0,0.000000
5454,low,8,0,0.000000
6713,low,8,0,0.000000
5435,low,8,0,0.000000
6277,low,8,0,0.000000
2044,low,8,0,0.000000
1783,low,7,0,0.000000
6626,low,7,0,0.000000
6732,low,7,0,0.000000
6938,low,7,0,0.000000
5389,low,7,0,0.000000
5592,low,7,0,0.000000
7128,low,7,0,0.000000
4350,low,7,0,0.000000
4377,low,7,0,0.000000
5340,low,7,0,0.000000
87,low,7,0,0.000000
2323,low,6,0,0.000000
5324,low,6,0,0.000000
5425,low,6,0,0.000000
6416,low,6,0,0.000000
4913,low,6,0,0.000000
4980,low,6,0,0.000000
5031,low,6,0,0.000000
5077,low,6,0,0.000000
5468,low,6,0,0.000000
5710,low,6,0,0.000000
6049,low,6,0,0.000000
6513,low,6,0,0.000000
6617,low,6,0,0.000000
4739,low,6,0,0.000000
7179,low,6,0,0.000000
747,low,6,0,0.000000
4992,low,5,0,0.000000
4818,low,5,0,0.000000
