group,code,imp,clk,ctr,spots,view_count,like_count,title
ZERO,2,2295,0,0.000000,0,306440,1872,한국롯데마트 추천
ZERO,14,181,0,0.000000,0,34582,138,韓國炸雞口味推薦
ZERO,76,142,0,0.000000,0,16173,151,5대궁
ZERO,86,357,0,0.000000,4,66660,443,首爾7間必吃豬腳店盤點
ZERO,125,212,0,0.000000,0,25557,309,便利商店/漢江泡麵機使用教學
ZERO,164,2168,0,0.000000,8,104978,568,교통카드의 종류와 구매&충전 방법
ZERO,216,317,0,0.000000,20,47273,412,서울 지역별 실내활동 총정리 | 강남  홍대  명동
ZERO,316,168,0,0.000000,0,53541,31,韓國人的14種迷信盤點
ZERO,347,2755,0,0.000000,11,132464,912,【2026년 최신】 서울·부산의 찜질방(사우나) 추천 9선 | 24시간 영업·여성 전용·아이돌 성지
ZERO,407,130,0,0.000000,2,19501,90,한국 중화요리 총정리
ZERO,414,4368,0,0.000000,0,489952,2937,한국에서 Tax refund 받는 방법
ZERO,429,550,0,0.000000,0,124121,1456,韓國旅行必知：韓國餐廳中韓菜單
ZERO,465,569,0,0.000000,1,141429,1143,서울지하상가 총정리!
ZERO,470,652,0,0.000000,0,42062,415,「甘川文化村」探訪
ZERO,507,172,0,0.000000,1,142702,1405,경복궁 ㅣ 공주한복
ZERO,513,152,0,0.000000,0,22276,5,韓國當兵/軍隊文化
ZERO,517,146,0,0.000000,0,33578,191,韓國汗蒸幕零食推薦
ZERO,662,1147,0,0.000000,0,12060,170,昌德宮「秘苑」預約教學/探訪
ZERO,675,327,0,0.000000,0,109783,1025,首爾地鐵2號線行程/必玩攻略
ZERO,682,600,0,0.000000,0,97765,590,서울 시장 총정리 2022
ZERO,724,1083,0,0.000000,0,74496,386,서울 심야버스
ZERO,756,160,0,0.000000,0,12633,171,《孤單又燦爛的神：鬼怪》7個拍攝地總整理
ZERO,778,181,0,0.000000,0,34473,292,韓服租借/挑選/注意事項整理
ZERO,781,520,0,0.000000,0,71156,450,忠武路美食總整理
ZERO,798,352,0,0.000000,0,109108,547,2025釜山必吃10種美食推薦
ZERO,823,127,0,0.000000,0,31866,170,首爾生活韓服店家TOP9
ZERO,825,195,0,0.000000,0,12010,128,首爾必去4個韓屋村盤點
ZERO,839,261,0,0.000000,0,83801,246,서울 채식식당 정리
ZERO,860,111,0,0.000000,0,24682,108,2025全州美食18間必吃整理
ZERO,902,417,0,0.000000,0,19789,292,2022인사동 맛집 총정리
ZERO,923,185,0,0.000000,0,42843,253,東大門「東廟市場」探訪
ZERO,963,1871,0,0.000000,5,131112,408,서울역 맛집 추천
ZERO,974,124,0,0.000000,8,23994,113,2026釜山7處賞櫻景點推薦
ZERO,975,161,0,0.000000,0,65083,386,富平罐頭市場探訪
ZERO,990,182,0,0.000000,5,81836,553,[트래볼루션] 한복남 경복궁점(서촌)  창덕궁점  전주한옥마을점
ZERO,993,277,0,0.000000,0,53925,848,弘大延南洞美食11間必吃推薦
ZERO,996,125,0,0.000000,0,17793,112,漢江腳踏車出租店彙整
ZERO,999,142,0,0.000000,0,18697,194,釜山站美食
ZERO,1037,115,0,0.000000,0,206802,337,서울 물가 비교
ZERO,1041,253,0,0.000000,0,17240,138,首爾「南山谷韓屋村」探訪
ZERO,1047,181,0,0.000000,0,5432,68,春川「江村鐵道腳踏車」探訪
ZERO,1052,727,0,0.000000,4,35028,131,2026景福宮夜間開放攻略
ZERO,1074,295,0,0.000000,0,115145,120,15 Korean Slangs That You Must Know! (2022ver.)
ZERO,1085,175,0,0.000000,1,56769,327,한복잇집
ZERO,1116,661,0,0.000000,0,56590,543,망원시장 2022 업데이트
ZERO,1240,189,0,0.000000,0,201545,1459,새로운 서울의 핫 플레이스 TOP5
ZERO,1366,251,0,0.000000,0,123855,376,江南「江南地下街」探訪
ZERO,1374,188,0,0.000000,0,33284,32,韓國練歌房(KTV/卡拉ok)介紹
ZERO,1378,136,0,0.000000,0,100512,2264,梨大明洞必逛商店推薦
ZERO,1422,227,0,0.000000,0,24233,325,[월드코리아] 롯데타워 서울스카이 입장권
ZERO,1431,497,0,0.000000,0,49802,303,韓國烤肉部位推薦/翻譯
ZERO,1466,200,0,0.000000,0,77428,395,신사동 가로수길에서 가볼만한 곳
ZERO,1493,778,0,0.000000,0,60675,247,首爾「星巴克」特色門市整理
ZERO,1505,1516,0,0.000000,0,17678,99,汗蒸幕羊咩咩頭教學
ZERO,1507,113,0,0.000000,0,16802,152,한강대교 총정리
ZERO,1532,417,0,0.000000,2,19565,82,韓國音樂節目錄影/生放送申請入場教學
ZERO,1534,348,0,0.000000,0,69170,150,베스킨 라빈스 31 TOP 10
ZERO,1552,131,0,0.000000,0,8820,93,GOT7 Mark便利店食譜
ZERO,1556,744,0,0.000000,0,91918,456,남이섬 ITX 타는법
ZERO,1558,124,0,0.000000,0,57530,35,韓國男生戀愛觀
ZERO,1570,750,0,0.000000,13,59277,122,김포공항(국제선  국내선) 총정리
ZERO,1665,647,0,0.000000,2,225327,871,서울 고속터미널 지하상가 탐방기
ZERO,1668,103,0,0.000000,0,163837,493,신촌쇼핑거리 U-PLEX 탐방기
ZERO,1747,237,0,0.000000,0,48466,152,한국에만 있는 맥도날드 메뉴 소개! 한국왔으면 이건 먹고가야지~
ZERO,1759,1672,0,0.000000,0,49988,138,"인천공항 내부 캡슐 호텔 ""다락휴"""
ZERO,1769,601,0,0.000000,0,159719,176,서울에서 부산 가는 방법 총정리
ZERO,1775,1838,0,0.000000,0,141853,434,2022 한국 우체국에서 짐 붙이기
ZERO,1790,170,0,0.000000,0,38227,202,2023海雲台咖啡廳懶人包
ZERO,1802,205,0,0.000000,0,26297,260,釜山1003號公車自由行吧
ZERO,1813,241,0,0.000000,0,80256,130,韓國必買的3ce人氣單品
ZERO,1848,156,0,0.000000,0,29807,279,2018 해운대 청사포 여행
ZERO,1870,131,0,0.000000,0,35372,131,서울  대구  부산에서 경주 가는 법 총정리~
ZERO,1902,145,0,0.000000,0,38150,196,부평지하상가
ZERO,1917,597,0,0.000000,0,35149,379,서울에서 꼭 방문해봐야할 한옥 카페
ZERO,1940,518,0,0.000000,0,98760,473,경복궁 맛집 총정리
ZERO,1946,114,0,0.000000,0,62012,183,한국다이소 탐방기
ZERO,1951,817,0,0.000000,0,78432,589,한국인들이 정말 좋아하는 곱창! 서울에서 한국인들에게 인기 있는 곱창집 TOP5!
ZERO,1952,687,0,0.000000,0,19605,217,서울숲 탐방기
ZERO,1962,251,0,0.000000,0,65963,175,한국인에게 인기 있는 존예 OLENS 컬러렌즈 추천！
ZERO,2002,1429,0,0.000000,0,108479,363,한국에 왔다면 꼭 먹어봐야 할 과자 추천
ZERO,2020,120,0,0.000000,0,27122,88,맘스터치 메뉴 소개
ZERO,2030,2163,0,0.000000,0,66201,142,2025韓國啤酒10款好喝/熱門推薦
ZERO,2043,1331,0,0.000000,0,72210,189,한국인이 직접 소개하는 서울의 핫플레이스 강남맛집!!
ZERO,2052,118,0,0.000000,0,39631,187,東大門必買美妝整理
ZERO,2075,131,0,0.000000,0,70367,6,"한국 대표 미제사건 ""화성 연쇄 살인 사건"" & ""개구리 소년"""
ZERO,2077,1062,0,0.000000,2,136579,611,동대문 쇼핑  총정리
ZERO,2103,239,0,0.000000,0,25637,137,서울 강남에서 요즘 핫한 디저트 맛집은 어디일까? 한국사람이 직접 소개하는 강남 디저트 맛집 TOP3
ZERO,2166,881,0,0.000000,0,91094,168,韓國米酒(馬格利)推薦/介紹
ZERO,2237,199,0,0.000000,0,4566,63,한국 지명을 딴 한국 맥주들을 소개합니다
ZERO,2245,215,0,0.000000,0,31485,204,【首爾地鐵三號線】한국 지하철을 타고 서울을 정복해봐요! 지하철 3호선을 타고 서울 여행하기!
ZERO,2276,166,0,0.000000,0,28278,126,【韓國必買茶品】韓國必去오설록 티하우스! 오설록의 제품들과 오설록 티하우스 소개!
ZERO,2302,177,0,0.000000,2,72460,164,하늘공원
ZERO,2304,212,0,0.000000,0,14237,25,韓國必買大學棒球外套
ZERO,2309,441,0,0.000000,0,69864,379,신사동 가로수길 맛집  카페 추천
ZERO,2319,292,0,0.000000,1,45221,254,부산한복 | 철수와영희
