"spot_code","korean_name","publish_status","business_status","reservation_status","current_city","current_dl","legal_code","correct_city","correct_dl","correct_sigungu_code","poly_match_cnt","coord_status"
"15414","(신사업) 26.04 비앤빛안과 대만 온라인 상담회","공개","영업종료","예약불가","타이페이","","","서울특별시","강남구","11680","1","매칭"
"15424","감성교복 잠실본점 스냅사진","공개","영업중","예약가능","서울시","잠실","","서울특별시","송파구","11710","1","매칭"
"15429","샵꽁뜨 연남점 | 외국인 맞춤 컬러 전문 헤어샵","공개","영업중","예약가능","서울시","홍대","","서울특별시","마포구","11440","1","매칭"
"15435","(신사업) 한국 대표 건강검진 센터, KMI | 특화상품 | 광화문","공개","영업중","예약가능","서울시","","","서울특별시","종로구","11110","1","매칭"
"15448","삭제 필요 ✅ 한복클로젯 | 경복궁 근처 전통 한복 대여 및 사진 촬영","비공개","영업중","예약가능","서울시","경복궁","","서울특별시","종로구","11110","1","매칭"
"15449","삭제필요 ✅북촌사진관 | 경복궁 야외 사진 촬영","비공개","영업중","예약가능","서울시","북촌","","서울특별시","종로구","11110","1","매칭"
"15457","2026 창덕궁 고궁음악회 <100인의 태평지악(공연)> (단체 결제 전용)","비공개","영업종료","예약가능","서울시","종로구","","서울특별시","종로구","11110","1","매칭"
"15512","외국인 수영대회 (2026 제3회 쉬엄쉬엄 한강 3종 축제)","비공개","영업중","예약가능","서울시","망원동","","서울특별시","마포구","11440","1","매칭"
"15556","","비공개","영업중","예약가능","서울시","홍대","","서울특별시","마포구","11440","1","매칭"
"15566","📓반영구 스팟 메뉴얼","비공개","영업중","예약가능","서울시","","","서울특별시","종로구","11110","1","매칭"
"15587","CARADI | Professional K-Beauty Hair & Makeup _ 보관을 위한 백업","비공개","영업종료","예약가능","서울시","압구정","","서울특별시","강남구","11680","1","매칭"
"15590","미유약국 | 부산","공개","영업중","예약가능","부산시","중구","","서울특별시","성동구","11200","1","매칭"
"15591","레디영약국 | 부산","공개","영업중","예약가능","부산시","중구","","서울특별시","성동구","11200","1","매칭"
"15592","국제약국 | 부산","공개","영업중","예약가능","부산시","중구","","서울특별시","성동구","11200","1","매칭"
"15593","남포온누리약국 | 부산","공개","영업중","예약가능","부산시","중구","","서울특별시","성동구","11200","1","매칭"
"15594","스퀘어약국 | 강남","공개","영업중","예약가능","서울시","강남구","","서울특별시","성동구","11200","1","매칭"
"15595","두타 레디영약국 | 명동","공개","영업중","예약가능","서울시","명동","","서울특별시","성동구","11200","1","매칭"
"15596","[Hyundai Department Store] K-Style Fashion Benefit (할인쿠폰 바우처 제공)","공개","영업중","예약가능","서울시","","","서울특별시","영등포구","11560","1","매칭"
"15603","스틱어라운드 성수 | 바디 프로필 & 프라이빗 화보","공개","영업중","예약가능","서울시","성수동","","서울특별시","성동구","11200","1","매칭"
"15611","깔살롱 강남역점 | 특별컬러 전문 헤어샵","공개","영업중","예약가능","서울시","강남구","","서울특별시","강남구","11680","1","매칭"
"15624","[어학당] 이지코리안 아카데미_온라인과정","공개","영업중","예약가능","서울시","강남구","","서울특별시","강남구","11680","1","매칭"
"15625","진한복 | 경복궁역 4번 출구 바로 앞, 30년 장인의 프리미엄 한복","공개","영업중","예약가능","서울시","종로구","","서울특별시","종로구","11110","1","매칭"
"15644","뚜레쥬르 강남직영점","공개","영업중","예약가능","서울시","강남구","","서울특별시","강남구","11680","1","매칭"
"15645","뚜레쥬르 압구정직영점","공개","영업중","예약가능","서울시","강남구","","서울특별시","강남구","11680","1","매칭"
"15651","커브라인의원 명동점 | 프라이빗 1:1 리프팅 케어","공개","영업중","예약가능","서울시","명동","","서울특별시","중구","11140","1","매칭"
"15657","코코리아 헤드스파&스킨케어","공개","영업중","예약가능","서울시","명동","","서울특별시","중구","11140","1","매칭"
"15661","K-Culture VR Tower | 세계 최초 K-POP 전용 4K VR로 즐기는 아이돌 콘서트","공개","영업중","예약가능","서울시","남산","","서울특별시","용산구","11170","1","매칭"
"15673","[오픈이벤트🎉] 그린바이강미 | 압구정로데오 연예인 헤어&메이크업샵","비공개","영업중","예약가능","서울시","압구정","","서울특별시","강남구","11680","1","매칭"
"15701","디스커버 서울패스 | 모바일(5일 eSIM 이용권 포함) & 실물카드형","비공개","영업중","예약가능","서울시","","","서울특별시","중구","11140","1","매칭"
"14959","★LIMITED TIME DEAL★ 제 34회 서울가요대상 FLOOR 스탠딩석 + 셔틀 패키지","공개","영업종료","예약가능","인천시","","","인천광역시","중구","28110","1","매칭"
"15063","Seventeen 콘서트 셔틀 (서울 ↔ 인천아시아드 주경기장)","비공개","영업종료","예약불가","인천시","","","인천광역시","서구","28260","1","매칭"
"15098","공항버스 6100 리무진버스 편도 티켓 (인천공항T1 출발)","공개","영업중","예약가능","인천시","인천공항","","인천광역시","중구","28110","1","매칭"
"15101","공항버스 6100 리무진버스 편도 티켓 (인천공항T2 출발)","공개","영업중","예약가능","인천시","인천공항","","인천광역시","중구","28110","1","매칭"
"15109","DOYOUNG 콘서트 셔틀버스 (서울 ↔ 인스파이어 아레나)","비공개","영업종료","예약가능","인천시","","","인천광역시","중구","28110","1","매칭"
"15235","[단독 50% 할인] EXO’verse 팬미팅 왕복 셔틀 (서울 ↔ 인스파이어 아레나)","비공개","영업종료","예약가능","인천시","","","인천광역시","미추홀구","28177","1","매칭"
"15535","인천 일일 투어: 루지, 레일바이크 & 페리 (갈매기 먹이주기 포함) | 서울 출발","공개","영업중","예약가능","인천시","강화군","","인천광역시","강화군","28710","1","매칭"
"15565","[에포스카드용] 2026 제35회 서울가요대상 패키지 (교통카드)","공개","영업종료","예약가능","인천시","중구","","인천광역시","중구","28110","1","매칭"
"15641","뚜레쥬르 인천공항T1 에어사이드점","공개","영업중","예약가능","인천시","중구","","인천광역시","중구","28110","1","매칭"
"15642","뚜레쥬르 인천공항T1 입국점","공개","영업중","예약가능","인천시","중구","","인천광역시","중구","28110","1","매칭"
"15643","뚜레쥬르 인천공항 탑승동점","공개","영업중","예약가능","인천시","중구","","인천광역시","중구","28110","1","매칭"
"15677","강화도 루지 & 소창 손수건 스탬프 체험 일일투어 | 서울 출발","공개","영업중","예약가능","인천시","강화군","","인천광역시","강화군","28710","1","매칭"
"15058","가을 스페셜 : 담양 죽녹원 대나무숲 + 메타세쿼이아길 일일투어 (부산출발)","공개","영업종료","예약가능","담양군","","","전라남도","담양군","46710","1","매칭"
"15163","대만수령 SKT USIM (통화가능) WOWPASS (또는 T-Money 무료 증정)","공개","영업중","예약가능","한국","","","제주특별자치도","제주시","50110","1","매칭"
"15029","2025 보령 머드 축제 K-POP 콘서트 일일투어 (서울출발) | 엠카운트다운, KBS Super Live","공개","영업종료","예약가능","보령시","","","충청남도","보령시","44180","1","매칭"
"12782","대부도 갯벌체험 여행 2박3일","비공개","영업종료","예약가능","성남시","","","","","","0","폴리곤미매칭"
"13685","2023 마지막 일몰 스페셜 투어 (부산출발)","비공개","영업종료","예약가능","부산시","","","","","","0","폴리곤미매칭"
"14954","울릉도 마을 2박3일 투어 (서울출발)","공개","영업종료","예약가능","울릉군","","","","","","0","폴리곤미매칭"
"15093","강릉 가을 한정 단풍 한옥체험 1박2일 투어 (서울출발)","공개","영업종료","예약가능","강릉시","","","","","","0","폴리곤미매칭"
"15094","강릉 겨울 한정 스키 한옥체험 1박2일 투어 (서울출발)","공개","영업중","예약가능","강릉시","","","","","","0","폴리곤미매칭"
"15597","부산 스카이라인 루지 액티비티 일일투어 | 부산 출발","공개","영업중","예약가능","경주시","","","","","","0","폴리곤미매칭"
